@timestamp,RequestId,Duration,Billed Duration,Memory Size,Max Memory Used,Init Duration
2024-05-31 13:54:13.051,e6762230-073f-4910-b6f6-aeab700f6899,2.39,3,512,81,
2024-05-31 13:54:13.003,1b762367-9064-4282-b80d-eb8ccbb3f79a,2.10,3,512,81,
2024-05-31 13:54:12.945,73642d11-33dd-43a4-8e17-d0482fe5aee7,2.18,3,512,81,
2024-05-31 13:54:12.940,6ebc3e22-452d-47f6-b04e-5cf14d7248ca,2.19,3,512,81,
2024-05-31 13:54:12.916,5a5b5322-b417-449e-bb64-615bac2291ac,2.30,3,512,81,
2024-05-31 13:54:12.869,5fa7401f-1a77-4e54-8958-0010afc46720,2.29,3,512,81,
2024-05-31 13:54:12.850,a1f8c633-721c-4c70-b984-e4c062768ad6,3.78,4,512,81,
2024-05-31 13:54:12.820,66300440-7261-4501-92ff-bfc9132dd900,14.88,15,512,81,
2024-05-31 13:54:12.806,8b11e0f1-b4b2-4cde-b38e-af3467666ca4,5.18,6,512,81,
2024-05-31 13:54:12.782,e8e14778-851e-4dff-a3ea-6fdce0df0b38,2.84,3,512,81,
2024-05-31 13:54:12.762,1c1ee5d1-bcc4-4bac-8897-d02bf0b5b940,2.28,3,512,81,
2024-05-31 13:54:12.743,4d2d91f3-ca68-4a16-bad0-0460ca02c8d1,2.07,3,512,81,
2024-05-31 13:54:12.729,07d8ff40-3b73-474e-9c15-c774409ad914,3.18,4,512,81,
2024-05-31 13:54:12.705,66f3b523-86b1-4e83-b8c0-815c8df276fe,2.08,3,512,81,
2024-05-31 13:54:12.698,2b9db331-3b3f-4027-a646-bea2ce1eb315,2.39,3,512,81,
2024-05-31 13:54:12.671,afc91a66-56fc-4e8c-be02-185a121e8dfb,2.16,3,512,81,
2024-05-31 13:54:12.656,27eff865-6f2d-4b8d-81a7-284e238201a2,2.35,3,512,81,
2024-05-31 13:54:12.654,94700789-493b-4f05-8ad1-8e3f2f831d1e,2.10,3,512,81,
2024-05-31 13:54:12.637,86dc94e1-7886-4b59-85a0-4fea07c7e8f9,2.08,3,512,81,
2024-05-31 13:54:12.620,44549d1f-3f4c-4fa0-a7eb-5b34cc0c5b6e,6.94,7,512,81,
2024-05-31 13:54:12.565,5ac16ff5-7048-49c7-9a8c-51648ce15b9e,2.41,3,512,81,
2024-05-31 13:54:12.560,d08f3a85-4611-418a-b068-87dbdc4db369,2.36,3,512,81,
2024-05-31 13:54:12.532,202409dc-9ee1-4e87-9ad0-a08af226c13a,2.39,3,512,81,
2024-05-31 13:54:12.510,36ea19e3-c30a-4662-bab7-1049b5b6c0f2,2.33,3,512,81,
2024-05-31 13:54:12.503,ae9bddcf-5bcf-4846-9d27-77d729e9a41a,2.10,3,512,81,
2024-05-31 13:54:12.502,08c28b4d-b15a-4844-8e62-3ce6623d0b60,2.28,3,512,81,
2024-05-31 13:54:12.428,974ff456-56b6-42da-b627-1026b8e86f83,2.19,3,512,81,
2024-05-31 13:54:12.407,0f414b78-d73a-4e94-8224-99315890dcdb,2.42,3,512,81,
2024-05-31 13:54:12.401,f94baadd-1585-41fc-a091-bccb8da5c7a4,4.00,5,512,81,
2024-05-31 13:54:12.385,2fc845cf-ef32-44d5-9104-7c89ba6bbbb5,2.19,3,512,81,
2024-05-31 13:54:12.371,faee123a-97a0-46cb-a43d-1f73de30f4e5,2.45,3,512,81,
2024-05-31 13:54:12.365,44f7f701-374f-4fe7-a7a2-1cdf21931ac7,2.50,3,512,81,
2024-05-31 13:54:12.329,2414d816-50f0-4b3d-97ab-4c5e42e60298,2.31,3,512,81,
2024-05-31 13:54:12.286,bf9480fc-b1af-4061-a6c7-2eced229ad64,2.25,3,512,81,
2024-05-31 13:54:12.286,fb9c2416-4053-435a-926d-aa6bf6274eef,2.97,3,512,81,
2024-05-31 13:54:12.271,ac4cae60-ca1b-417a-8477-a231b1eaafc8,16.98,17,512,81,
2024-05-31 13:54:12.265,5c230f74-3413-456a-b778-49756bdca2b3,2.17,3,512,81,
2024-05-31 13:54:12.256,051a96be-7c1c-4f55-97ac-19eeaa254aef,2.45,3,512,81,
2024-05-31 13:54:12.201,85979f5b-8ac5-43a6-b50a-192c61ba4b51,2.10,3,512,81,
2024-05-31 13:54:12.195,7a1e2e4d-410e-46a8-b625-34f711fa9cc3,2.15,3,512,81,
2024-05-31 13:54:12.175,d5aeca0b-c7b9-478b-b954-ecdd9fa43db2,1.71,2,512,81,
2024-05-31 13:54:12.170,bb3c1a11-1d7f-44b5-a808-817db7852c04,2.06,3,512,81,
2024-05-31 13:54:12.124,5bcb4d5f-8c82-4127-abe9-952a566a7edf,2.08,3,512,81,
2024-05-31 13:54:12.115,a12f31df-3250-480b-949c-48ac3ecd5ffe,2.17,3,512,81,
2024-05-31 13:54:12.095,e21f8c37-4254-4fd4-86a4-414473adbc1d,2.10,3,512,81,
2024-05-31 13:54:12.058,d008cf58-b121-4519-9f56-c9b71b0d5509,2.17,3,512,81,
2024-05-31 13:54:12.056,c56cf2d0-6876-4eb8-8f0d-e491967ddf51,2.05,3,512,81,
2024-05-31 13:54:12.049,c14677f8-0e4f-4a31-8fbb-31bd3a41f05c,2.38,3,512,81,
2024-05-31 13:54:12.006,d34009ab-f97c-4c6b-a746-01e25e80519d,2.70,3,512,81,
2024-05-31 13:54:12.002,01b097b8-06f5-4239-9a7c-6a3ed10b8e2e,2.28,3,512,81,
2024-05-31 13:54:11.958,e643eaf7-d762-4e9d-b358-a8e111b7aaaf,2.33,3,512,81,
2024-05-31 13:54:11.956,ff9f6f0f-8fd1-458c-82c4-4b889ec3cc10,2.43,3,512,81,
2024-05-31 13:54:11.904,7bf57da6-321b-454c-bd82-8c0600c18f48,2.21,3,512,81,
2024-05-31 13:54:11.891,0bece07c-77ea-44d9-b11c-decea9ee5781,2.15,3,512,81,
2024-05-31 13:54:11.877,67d2c04a-8e09-47e3-834f-28b8cf77694a,2.11,3,512,81,
2024-05-31 13:54:11.868,c966e568-db6b-485d-8e73-8c7ca10a9e1d,2.27,3,512,81,
2024-05-31 13:54:11.845,2e5cf89f-b329-43d5-ba70-4fdb8f9c9a3c,2.21,3,512,81,
2024-05-31 13:54:11.826,7a525945-2551-4b53-8aee-f6fb85dfe008,4.13,5,512,81,
2024-05-31 13:54:11.821,be405e50-f05e-42af-948d-8cfe90f9913d,2.19,3,512,81,
2024-05-31 13:54:11.754,187b91af-472f-4be7-943f-0b52b71a056d,2.89,3,512,81,
2024-05-31 13:54:11.753,c95897e7-cd5a-4eea-8b68-b997c8e41ae0,2.25,3,512,81,
2024-05-31 13:54:11.725,37c35aa4-a8da-449e-addc-35e7b90c2eb1,2.39,3,512,81,
2024-05-31 13:54:11.719,1767c415-ad45-4f61-b55d-42728b260dd4,2.37,3,512,81,
2024-05-31 13:54:11.715,817e9183-1ea1-4f86-b92a-ec63340c931b,2.14,3,512,81,
2024-05-31 13:54:11.687,91193f54-0eb8-4911-912e-89e685d66510,2.31,3,512,81,
