@timestamp,Duration,Billed Duration,Memory Size,Max Memory Used,Init Duration
2024-05-31 18:22:48.720,10015.80,10000,512,150,
2024-05-31 18:22:48.520,10015.18,10000,512,149,
2024-05-31 18:22:48.238,10015.32,10000,512,149,
2024-05-31 18:22:48.211,10015.15,10000,512,149,
2024-05-31 18:22:47.024,10016.18,10000,512,149,
2024-05-31 18:22:46.953,10015.16,10000,512,149,
2024-05-31 18:22:46.862,10015.07,10000,512,148,
2024-05-31 18:22:46.800,10015.77,10000,512,149,
2024-05-31 18:22:45.847,10015.90,10000,512,149,
2024-05-31 18:22:45.844,10015.22,10000,512,150,
2024-05-31 18:22:45.814,10015.86,10000,512,150,
2024-05-31 18:22:45.606,10015.61,10000,512,149,
2024-05-31 18:22:45.595,10015.08,10000,512,150,
2024-05-31 18:22:45.048,10015.78,10000,512,148,
2024-05-31 18:22:45.007,10015.64,10000,512,148,
2024-05-31 18:22:44.989,10015.44,10000,512,147,
2024-05-31 18:22:44.816,10015.22,10000,512,129,
2024-05-31 18:22:44.626,10015.11,10000,512,129,
2024-05-31 18:22:44.624,10015.86,10000,512,148,
2024-05-31 18:22:44.566,10020.85,10000,512,129,
2024-05-31 18:22:44.485,10015.70,10000,512,148,
2024-05-31 18:22:44.406,10007.45,10000,512,150,
2024-05-31 18:22:44.286,10015.04,10000,512,129,
2024-05-31 18:22:44.237,10015.60,10000,512,150,
2024-05-31 18:22:44.044,10015.20,10000,512,129,
2024-05-31 18:22:41.854,10015.06,10000,512,129,
2024-05-31 18:22:38.497,418.80,419,512,149,
2024-05-31 18:22:38.150,206.71,207,512,149,
2024-05-31 18:22:38.117,329.26,330,512,149,
2024-05-31 18:22:38.081,249.65,250,512,148,
2024-05-31 18:22:38.077,195.82,196,512,148,
2024-05-31 18:22:38.058,6921.44,6922,512,148,
2024-05-31 18:22:38.052,247.60,248,512,130,
2024-05-31 18:22:37.934,549.74,550,512,149,
2024-05-31 18:22:37.871,240.64,241,512,148,
2024-05-31 18:22:37.797,6656.99,6657,512,130,
2024-05-31 18:22:37.783,6695.94,6696,512,148,
2024-05-31 18:22:37.749,6790.98,6791,512,149,
2024-05-31 18:22:37.612,309.92,310,512,148,
2024-05-31 18:22:37.538,578.06,579,512,149,
2024-05-31 18:22:37.372,6623.39,6624,512,148,
2024-05-31 18:22:37.292,6721.79,6722,512,148,
2024-05-31 18:22:37.186,6653.48,6654,512,149,
2024-05-31 18:22:37.000,7020.75,7021,512,149,
2024-05-31 18:22:36.904,6706.02,6707,512,149,
2024-05-31 18:22:35.846,276.74,277,512,150,
2024-05-31 18:22:35.785,204.44,205,512,150,
2024-05-31 18:22:35.571,189.77,190,512,150,
2024-05-31 18:22:35.488,235.78,236,512,150,
2024-05-31 18:22:35.486,287.16,288,512,150,
2024-05-31 18:22:35.361,216.11,217,512,150,
2024-05-31 18:22:35.243,6739.96,6740,512,150,
2024-05-31 18:22:35.123,185.36,186,512,150,
2024-05-31 18:22:35.113,6848.45,6849,512,150,
2024-05-31 18:22:35.050,782.85,783,512,128,1701.27
2024-05-31 18:22:35.012,724.34,725,512,128,1754.98
2024-05-31 18:22:34.986,758.79,759,512,129,1772.18
2024-05-31 18:22:34.925,273.05,274,512,150,
2024-05-31 18:22:34.559,867.07,868,512,128,1731.50
2024-05-31 18:22:34.460,701.78,702,512,128,1776.76
2024-05-31 18:22:34.295,6610.06,6611,512,150,
2024-05-31 18:22:34.262,677.25,678,512,128,1653.83
2024-05-31 18:22:34.247,785.13,786,512,128,1615.63
2024-05-31 18:22:34.213,6865.14,6866,512,150,
2024-05-31 18:22:34.039,869.34,870,512,147,1495.42
2024-05-31 18:22:34.018,753.83,754,512,128,1719.20
2024-05-31 18:22:31.835,785.93,786,512,128,1742.71
2024-05-31 18:22:31.136,254.98,255,512,129,
2024-05-31 18:22:31.133,285.25,286,512,129,
2024-05-31 18:22:31.084,536.62,537,512,148,
2024-05-31 18:22:30.920,508.48,509,512,149,
2024-05-31 18:22:30.721,636.39,637,512,148,
2024-05-31 18:22:30.554,933.55,934,512,148,
2024-05-31 18:22:30.427,494.41,495,512,149,
2024-05-31 18:22:30.171,663.60,664,512,149,
2024-05-31 18:22:29.939,671.37,672,512,149,
2024-05-31 18:22:28.376,189.89,190,512,150,
2024-05-31 18:22:28.148,225.47,226,512,150,
2024-05-31 18:22:27.850,243.95,244,512,150,
2024-05-31 18:22:27.755,222.91,223,512,149,
2024-05-31 18:22:27.671,218.56,219,512,150,
2024-05-31 18:22:27.443,422.98,423,512,150,
2024-05-31 18:22:27.426,286.84,287,512,149,
2024-05-31 18:22:27.343,415.95,416,512,150,
2024-05-31 18:22:27.076,235.51,236,512,149,
2024-05-31 18:22:26.998,312.34,313,512,150,
2024-05-31 18:22:26.927,423.56,424,512,150,
2024-05-31 18:22:26.822,217.50,218,512,149,
2024-05-31 18:22:26.659,403.83,404,512,150,
2024-05-31 18:22:26.575,374.11,375,512,149,
2024-05-31 18:22:26.490,622.33,623,512,150,
2024-05-31 18:22:26.216,245.78,246,512,150,
2024-05-31 18:22:26.080,245.83,246,512,149,
2024-05-31 18:22:25.947,446.13,447,512,150,
2024-05-31 18:22:25.840,255.53,256,512,150,
2024-05-31 18:22:25.810,178.47,179,512,149,
2024-05-31 18:22:25.605,438.14,439,512,149,
2024-05-31 18:22:25.563,263.44,264,512,150,
2024-05-31 18:22:25.487,232.33,233,512,150,
2024-05-31 18:22:25.279,436.94,437,512,150,
2024-05-31 18:22:25.176,208.22,209,512,150,
2024-05-31 18:22:25.121,243.83,244,512,149,
2024-05-31 18:22:24.834,375.86,376,512,150,
2024-05-31 18:22:24.833,300.33,301,512,149,
2024-05-31 18:22:24.797,215.73,216,512,150,
2024-05-31 18:22:24.579,510.25,511,512,150,
2024-05-31 18:22:24.557,253.38,254,512,150,
2024-05-31 18:22:24.447,234.91,235,512,150,
2024-05-31 18:22:24.358,196.45,197,512,149,
2024-05-31 18:22:24.233,243.96,244,512,150,
2024-05-31 18:22:24.206,185.36,186,512,150,
2024-05-31 18:22:24.097,974.40,975,512,149,
2024-05-31 18:22:24.049,209.71,210,512,150,
2024-05-31 18:22:24.048,460.80,461,512,149,
2024-05-31 18:22:24.021,566.16,567,512,150,
2024-05-31 18:22:23.999,432.36,433,512,150,
2024-05-31 18:22:23.911,226.62,227,512,150,
2024-05-31 18:22:23.755,407.45,408,512,150,
2024-05-31 18:22:23.718,222.84,223,512,149,
2024-05-31 18:22:23.652,688.61,689,512,150,
2024-05-31 18:22:23.524,601.12,602,512,150,
2024-05-31 18:22:23.481,206.17,207,512,149,
2024-05-31 18:22:23.410,245.71,246,512,150,
2024-05-31 18:22:23.404,199.35,200,512,149,
2024-05-31 18:22:23.328,261.35,262,512,150,
2024-05-31 18:22:23.112,249.86,250,512,149,
2024-05-31 18:22:23.087,427.54,428,512,150,
2024-05-31 18:22:23.041,361.84,362,512,150,
2024-05-31 18:22:22.993,405.77,406,512,149,
2024-05-31 18:22:22.980,194.55,195,512,149,
2024-05-31 18:22:22.862,341.71,342,512,150,
2024-05-31 18:22:22.846,368.80,369,512,149,
2024-05-31 18:22:22.762,197.54,198,512,149,
2024-05-31 18:22:22.635,381.14,382,512,150,
2024-05-31 18:22:22.615,417.35,418,512,150,
2024-05-31 18:22:22.521,220.22,221,512,149,
2024-05-31 18:22:22.517,622.59,623,512,150,
2024-05-31 18:22:22.484,455.49,456,512,149,
2024-05-31 18:22:22.451,524.41,525,512,149,
2024-05-31 18:22:22.274,185.95,186,512,149,
2024-05-31 18:22:22.220,246.35,247,512,149,
2024-05-31 18:22:22.161,376.41,377,512,150,
2024-05-31 18:22:22.037,199.93,200,512,149,
2024-05-31 18:22:22.020,388.93,389,512,149,
2024-05-31 18:22:21.975,436.51,437,512,149,
2024-05-31 18:22:21.860,409.48,410,512,149,
2024-05-31 18:22:21.820,223.64,224,512,149,
2024-05-31 18:22:21.797,674.29,675,512,149,
2024-05-31 18:22:21.796,577.48,578,512,149,
2024-05-31 18:22:21.767,175.44,176,512,149,
2024-05-31 18:22:21.730,225.88,226,512,150,
2024-05-31 18:22:21.590,292.13,293,512,149,
2024-05-31 18:22:21.563,192.03,193,512,149,
2024-05-31 18:22:21.550,290.39,291,512,149,
2024-05-31 18:22:21.495,525.09,526,512,150,
2024-05-31 18:22:21.332,318.52,319,512,149,
2024-05-31 18:22:21.312,241.98,242,512,149,
2024-05-31 18:22:21.272,365.17,366,512,149,
2024-05-31 18:22:21.237,672.29,673,512,149,
2024-05-31 18:22:21.193,401.51,402,512,149,
2024-05-31 18:22:21.172,245.83,246,512,149,
2024-05-31 18:22:21.094,232.15,233,512,149,
2024-05-31 18:22:20.943,238.87,239,512,150,
2024-05-31 18:22:20.753,213.85,214,512,149,
2024-05-31 18:22:20.723,219.01,220,512,149,
2024-05-31 18:22:20.667,208.29,209,512,150,
2024-05-31 18:22:20.533,403.56,404,512,149,
2024-05-31 18:22:20.512,293.02,294,512,149,
2024-05-31 18:22:20.486,188.49,189,512,149,
2024-05-31 18:22:20.408,240.02,241,512,150,
2024-05-31 18:22:20.395,374.55,375,512,149,
2024-05-31 18:22:20.386,425.16,426,512,149,
2024-05-31 18:22:20.346,253.97,254,512,149,
2024-05-31 18:22:20.171,355.98,356,512,149,
2024-05-31 18:22:20.140,200.73,201,512,150,
2024-05-31 18:22:20.052,370.34,371,512,149,
2024-05-31 18:22:20.050,214.83,215,512,149,
2024-05-31 18:22:19.921,447.69,448,512,150,
2024-05-31 18:22:19.842,252.97,253,512,149,
2024-05-31 18:22:19.781,214.67,215,512,149,
2024-05-31 18:22:19.764,229.02,230,512,149,
2024-05-31 18:22:19.755,230.27,231,512,149,
2024-05-31 18:22:19.754,575.98,576,512,149,
2024-05-31 18:22:19.513,260.50,261,512,149,
2024-05-31 18:22:19.499,405.01,406,512,149,
2024-05-31 18:22:19.478,553.82,554,512,149,
2024-05-31 18:22:19.473,438.79,439,512,149,
2024-05-31 18:22:19.439,239.29,240,512,150,
2024-05-31 18:22:19.429,450.08,451,512,149,
2024-05-31 18:22:19.202,497.83,498,512,149,
2024-05-31 18:22:19.179,345.20,346,512,150,
2024-05-31 18:22:19.145,358.55,359,512,149,
2024-05-31 18:22:19.047,406.69,407,512,149,
2024-05-31 18:22:18.915,444.92,445,512,149,
2024-05-31 18:22:18.809,211.97,212,512,150,
2024-05-31 18:22:18.780,230.85,231,512,149,
2024-05-31 18:22:18.773,718.80,719,512,149,
2024-05-31 18:22:18.738,219.06,220,512,149,
2024-05-31 18:22:18.637,463.57,464,512,149,
2024-05-31 18:22:18.593,278.44,279,512,149,
2024-05-31 18:22:18.591,233.66,234,512,150,
2024-05-31 18:22:18.519,299.67,300,512,149,
2024-05-31 18:22:18.417,337.92,338,512,149,
2024-05-31 18:22:18.383,458.87,459,512,149,
2024-05-31 18:22:18.331,359.34,360,512,150,
2024-05-31 18:22:18.286,786.86,787,512,149,
2024-05-31 18:22:18.280,425.90,426,512,149,
2024-05-31 18:22:18.205,327.72,328,512,149,
2024-05-31 18:22:18.013,232.83,233,512,149,
2024-05-31 18:22:17.994,544.00,544,512,149,
2024-05-31 18:22:17.870,233.92,234,512,149,
2024-05-31 18:22:17.861,277.24,278,512,149,
2024-05-31 18:22:17.854,324.37,325,512,150,
2024-05-31 18:22:17.809,266.17,267,512,149,
2024-05-31 18:22:17.610,322.38,323,512,149,
2024-05-31 18:22:17.521,215.86,216,512,150,
2024-05-31 18:22:17.472,446.18,447,512,149,
2024-05-31 18:22:17.466,252.39,253,512,149,
2024-05-31 18:22:17.401,218.90,219,512,149,
