@timestamp,Duration,Billed Duration,Memory Size,Max Memory Used,Init Duration
2024-06-03 19:18:15.933,9.91,10,512,85,
2024-06-03 19:18:15.890,9.49,10,512,85,
2024-06-03 19:18:15.875,8.43,9,512,85,
2024-06-03 19:18:15.846,8.99,9,512,85,
2024-06-03 19:18:15.834,8.53,9,512,85,
2024-06-03 19:18:15.824,9.42,10,512,85,
2024-06-03 19:18:15.804,17.18,18,512,85,
2024-06-03 19:18:15.792,9.07,10,512,85,
2024-06-03 19:18:15.783,11.19,12,512,84,
2024-06-03 19:18:15.778,7.56,8,512,85,
2024-06-03 19:18:15.748,10.44,11,512,85,
2024-06-03 19:18:15.736,10.08,11,512,84,
2024-06-03 19:18:15.727,6.46,7,512,85,
2024-06-03 19:18:15.717,11.29,12,512,84,
2024-06-03 19:18:15.709,8.29,9,512,85,
2024-06-03 19:18:15.693,7.59,8,512,85,
2024-06-03 19:18:15.688,8.48,9,512,84,
2024-06-03 19:18:15.672,10.07,11,512,84,
2024-06-03 19:18:15.672,7.94,8,512,85,
2024-06-03 19:18:15.667,9.05,10,512,85,
2024-06-03 19:18:15.662,8.90,9,512,83,
2024-06-03 19:18:15.657,25.16,26,512,84,
2024-06-03 19:18:15.653,8.61,9,512,85,
2024-06-03 19:18:15.630,7.16,8,512,85,
2024-06-03 19:18:15.627,12.37,13,512,84,
2024-06-03 19:18:15.625,10.21,11,512,85,
2024-06-03 19:18:15.624,8.21,9,512,83,
2024-06-03 19:18:15.620,8.84,9,512,85,
2024-06-03 19:18:15.602,9.40,10,512,85,
2024-06-03 19:18:15.597,10.28,11,512,85,
2024-06-03 19:18:15.589,10.34,11,512,84,
2024-06-03 19:18:15.586,8.54,9,512,85,
2024-06-03 19:18:15.585,8.10,9,512,83,
2024-06-03 19:18:15.584,8.77,9,512,85,
2024-06-03 19:18:15.580,6.63,7,512,85,
2024-06-03 19:18:15.570,8.68,9,512,85,
2024-06-03 19:18:15.564,10.42,11,512,85,
2024-06-03 19:18:15.552,7.02,8,512,85,
2024-06-03 19:18:15.545,10.43,11,512,85,
2024-06-03 19:18:15.543,11.78,12,512,83,
2024-06-03 19:18:15.543,8.03,9,512,85,
2024-06-03 19:18:15.530,14.29,15,512,85,
2024-06-03 19:18:15.523,7.13,8,512,85,
2024-06-03 19:18:15.514,10.98,11,512,83,
2024-06-03 19:18:15.510,9.16,10,512,85,
2024-06-03 19:18:15.503,10.73,11,512,85,
2024-06-03 19:18:15.495,9.08,10,512,85,
2024-06-03 19:18:15.484,9.43,10,512,85,
2024-06-03 19:18:15.483,20.42,21,512,83,
2024-06-03 19:18:15.470,9.15,10,512,85,
2024-06-03 19:18:15.466,8.22,9,512,85,
2024-06-03 19:18:15.462,8.33,9,512,85,
2024-06-03 19:18:15.451,10.17,11,512,85,
2024-06-03 19:18:15.450,9.09,10,512,85,
2024-06-03 19:18:15.432,8.86,9,512,85,
2024-06-03 19:18:15.429,6.71,7,512,85,
2024-06-03 19:18:15.429,7.89,8,512,85,
2024-06-03 19:18:15.426,9.75,10,512,83,
2024-06-03 19:18:15.423,7.50,8,512,84,
2024-06-03 19:18:15.411,10.82,11,512,84,
2024-06-03 19:18:15.408,9.86,10,512,83,
2024-06-03 19:18:15.392,11.32,12,512,83,
2024-06-03 19:18:15.391,29.30,30,512,84,
2024-06-03 19:18:15.391,9.05,10,512,85,
2024-06-03 19:18:15.384,10.59,11,512,85,
2024-06-03 19:18:15.383,11.38,12,512,85,
2024-06-03 19:18:15.382,7.30,8,512,85,
2024-06-03 19:18:15.366,6.73,7,512,85,
2024-06-03 19:18:15.365,8.23,9,512,85,
2024-06-03 19:18:15.350,7.50,8,512,85,
2024-06-03 19:18:15.343,8.25,9,512,85,
2024-06-03 19:18:15.343,14.06,15,512,84,
2024-06-03 19:18:15.342,8.11,9,512,85,
2024-06-03 19:18:15.329,8.75,9,512,85,
2024-06-03 19:18:15.328,9.35,10,512,85,
2024-06-03 19:18:15.323,16.01,17,512,84,
2024-06-03 19:18:15.313,10.20,11,512,85,
2024-06-03 19:18:15.303,8.18,9,512,85,
2024-06-03 19:18:15.302,8.75,9,512,84,
2024-06-03 19:18:15.298,8.25,9,512,85,
2024-06-03 19:18:15.291,8.29,9,512,85,
2024-06-03 19:18:15.289,8.44,9,512,84,
2024-06-03 19:18:15.282,14.14,15,512,85,
2024-06-03 19:18:15.271,9.98,10,512,84,
2024-06-03 19:18:15.264,9.06,10,512,85,
2024-06-03 19:18:15.263,13.87,14,512,85,
2024-06-03 19:18:15.258,7.38,8,512,85,
2024-06-03 19:18:15.251,9.75,10,512,84,
2024-06-03 19:18:15.244,8.37,9,512,85,
2024-06-03 19:18:15.234,8.59,9,512,84,
2024-06-03 19:18:15.229,9.76,10,512,85,
2024-06-03 19:18:15.223,8.71,9,512,85,
2024-06-03 19:18:15.217,9.18,10,512,84,
2024-06-03 19:18:15.209,8.89,9,512,85,
2024-06-03 19:18:15.207,8.68,9,512,85,
2024-06-03 19:18:15.204,28.61,29,512,85,
2024-06-03 19:18:15.188,7.04,8,512,85,
2024-06-03 19:18:15.188,8.25,9,512,85,
2024-06-03 19:18:15.183,9.45,10,512,84,
2024-06-03 19:18:15.166,10.08,11,512,84,
2024-06-03 19:18:15.166,9.00,10,512,85,
2024-06-03 19:18:15.150,17.95,18,512,85,
2024-06-03 19:18:15.143,8.94,9,512,84,
2024-06-03 19:18:15.140,8.57,9,512,85,
2024-06-03 19:18:15.125,8.28,9,512,85,
2024-06-03 19:18:15.123,9.30,10,512,84,
2024-06-03 19:18:15.123,7.53,8,512,85,
2024-06-03 19:18:15.118,10.58,11,512,85,
2024-06-03 19:18:15.114,11.65,12,512,83,
2024-06-03 19:18:15.111,9.21,10,512,85,
2024-06-03 19:18:15.103,9.66,10,512,84,
2024-06-03 19:18:15.085,8.97,9,512,84,
2024-06-03 19:18:15.085,7.21,8,512,85,
2024-06-03 19:18:15.083,10.63,11,512,83,
2024-06-03 19:18:15.075,9.07,10,512,85,
2024-06-03 19:18:15.071,9.90,10,512,84,
2024-06-03 19:18:15.069,19.22,20,512,85,
2024-06-03 19:18:15.064,19.64,20,512,83,
2024-06-03 19:18:15.047,11.14,12,512,84,
2024-06-03 19:18:15.046,8.09,9,512,85,
2024-06-03 19:18:15.043,9.02,10,512,85,
2024-06-03 19:18:15.035,7.64,8,512,83,
2024-06-03 19:18:15.029,10.33,11,512,85,
2024-06-03 19:18:15.014,9.15,10,512,83,
2024-06-03 19:18:15.013,8.39,9,512,85,
2024-06-03 19:18:15.008,13.05,14,512,84,
2024-06-03 19:18:15.004,9.99,10,512,85,
2024-06-03 19:18:15.002,8.35,9,512,85,
2024-06-03 19:18:14.994,9.62,10,512,85,
2024-06-03 19:18:14.989,8.32,9,512,85,
2024-06-03 19:18:14.983,12.55,13,512,85,
2024-06-03 19:18:14.969,8.80,9,512,85,
2024-06-03 19:18:14.964,10.79,11,512,85,
2024-06-03 19:18:14.964,6.82,7,512,85,
2024-06-03 19:18:14.962,9.61,10,512,84,
2024-06-03 19:18:14.949,8.27,9,512,85,
2024-06-03 19:18:14.938,11.00,11,512,84,
2024-06-03 19:18:14.925,8.13,9,512,85,
2024-06-03 19:18:14.924,6.37,7,512,85,
2024-06-03 19:18:14.922,20.87,21,512,85,
2024-06-03 19:18:14.911,8.64,9,512,85,
2024-06-03 19:18:14.910,7.69,8,512,85,
2024-06-03 19:18:14.902,19.17,20,512,84,
2024-06-03 19:18:14.896,7.48,8,512,85,
2024-06-03 19:18:14.890,8.29,9,512,85,
2024-06-03 19:18:14.872,7.12,8,512,85,
